_rank,img,psnr,ssim,_score,mode,lpips,enl,epi
1,7181.jpg,33.48615028016159,0.882340177380681,4.189112338571835,DDPM,0.1708582043647766,0.5141354290981297,0.4901623057822621
2,7071.jpg,33.00425771016614,0.8461125476175546,3.8416705327764293,DDPM,0.132424384355545,1.268567216903179,0.5494986042720978
3,7294.jpg,32.21930751724125,0.8737171518261284,3.7997167216968197,DDPM,0.1275304853916168,0.5910585492992081,0.5407566903560197
4,7741.jpg,32.22333083890884,0.8001051054224968,3.355462553667426,DDPM,0.1052334830164909,2.5783505036916448,0.6318644500682586
5,6416.jpg,31.407905966552757,0.8276693815281391,3.305152508932231,DDPM,0.1548523753881454,0.6482868397644789,0.564806135842119
6,7637.jpg,31.227222592046587,0.8203714354309589,3.212905336919577,DDPM,0.0792005509138107,0.4915968435000582,0.736878315371155
7,5090.jpg,30.263737713914672,0.8528139988543093,3.1526939857666068,DDPM,0.1102802231907844,0.4589785584374354,0.6173510539370703
8,6303.jpg,30.304925479286524,0.8404354348556772,3.0887723880755784,DDPM,0.1780680865049362,0.7692423184543398,0.5671819144258982
9,7301.jpg,30.771324182836505,0.8139940878100097,3.0529660624056536,DDPM,0.0929064750671386,0.6252317203475004,0.7723520719311094
10,1077.jpg,29.66906470905139,0.8595151940209009,3.034933609756562,DDPM,0.0773954093456268,0.384351294011984,0.821015566762145
11,6625.jpg,29.434344965078665,0.8588816733349376,2.9686193905258564,DDPM,0.1447202861309051,0.6202702277528682,0.5181387573740599
12,6568.jpg,29.48199329680425,0.821634221954307,2.755970170498128,DDPM,0.1142803356051445,0.5674506731002041,0.7062641420625094
13,6515.jpg,29.344342973825235,0.8130707935907915,2.6675225702378396,DDPM,0.1246829628944397,0.7949016746532003,0.6700583047233198
14,964.jpg,29.70319794906032,0.7916518106273058,2.633471853956906,DDPM,0.0781927034258842,0.4769781044933732,0.7963305694759071
15,6852.jpg,30.72117336593777,0.7402156545619965,2.5932843313160294,DDPM,0.1415130347013473,5.413803241447628,0.5310210241765967
16,6620.jpg,28.451849852377094,0.8377977204418424,2.579532305341065,DDPM,0.1343620717525482,0.4544687276676605,0.5856121563561708
17,7683.jpg,28.728892334496614,0.8203730831837873,2.547867648231302,DDPM,0.0898813307285308,0.7039613639635824,0.692993057250501
18,4975.jpg,28.529427175376327,0.8260848203832619,2.529324509635271,DDPM,0.1449195146560669,0.5464202372367802,0.6788592912523463
19,4268.jpg,28.385195899738555,0.8296250917595624,2.5123479064959007,DDPM,0.1813705712556839,0.5444497503397672,0.4839345080270815
20,5759.jpg,28.367466961291083,0.8254820120896688,2.482564446831733,DDPM,0.1710726469755172,0.6496316702751541,0.5543997278335796
21,6993.jpg,28.447576632228568,0.8200215449349842,2.4708556190229816,DDPM,0.1907683461904525,0.9881289063670028,0.5705662930922274
22,7183.jpg,30.52873572254417,0.7225887238588333,2.435421742199947,DDPM,0.1422998011112213,1.2063442795535662,0.5543431150590925
23,6557.jpg,28.500416244007805,0.8073311526604514,2.408149262542442,DDPM,0.1498884707689285,0.8683872903930109,0.531167880545101
24,7531.jpg,29.81726424579616,0.7485192040913105,2.402899914568495,DDPM,0.1097283735871315,3.8463095425934206,0.6053267729133455
25,936.jpg,27.998528713102758,0.8251473456275952,2.3823296394412,DDPM,0.1262650042772293,0.6601133431655662,0.5817694823939483
26,5869.jpg,27.71895671612428,0.8294770544146597,2.3341015610341604,DDPM,0.1304803788661956,0.3778279037064537,0.6179577729412132
27,325.jpg,27.650303212032256,0.8323861479099386,2.333425134455114,DDPM,0.1294182240962982,0.612306861337028,0.6137831871737989
28,6516.jpg,27.87701556198879,0.814635042624658,2.286387745818922,DDPM,0.1677866876125335,1.1143659947886015,0.5472948344592345
29,7643.jpg,27.191466821285644,0.8420082754965369,2.2694945792209253,DDPM,0.1277766227722168,0.5506572187053463,0.5906809324583487
30,219.jpg,31.65761616307501,0.6404375891881045,2.2389427325901736,DDPM,0.0672426968812942,2.0646355016921727,0.8632402382586551
31,1987.jpg,27.897919300879423,0.7987377360678327,2.1957795365094204,DDPM,0.1392422616481781,0.748488597386027,0.585799770958362
32,5201.jpg,27.190087909658303,0.8267041409684345,2.1765432658522483,DDPM,0.1760473698377609,0.6791758171998027,0.6438167965542457
33,6966.jpg,27.92474395608953,0.7858911678003343,2.125203274458237,DDPM,0.1598317623138427,0.844340866412324,0.5399728232925051
34,972.jpg,27.04552682427528,0.815165595675718,2.0682577051741964,DDPM,0.1483891010284423,0.5678449766012417,0.5381247254295924
35,5650.jpg,27.15123671177707,0.8089077523420155,2.058539748851648,DDPM,0.1610474735498428,0.3782356335033794,0.4440808562818898
36,6674.jpg,27.455018309899486,0.7934725190013636,2.046028104953886,DDPM,0.2118954956531524,1.1509043487507804,0.5245041754792843
37,5763.jpg,27.008061840002085,0.812619830901894,2.042883725868119,DDPM,0.1545791625976562,0.8875721184571367,0.5371302244369831
38,848.jpg,26.45537432200776,0.8317812110890749,2.011679182154534,DDPM,0.1291972547769546,0.5002625214424545,0.5255332410251875
39,6297.jpg,26.63534874663292,0.8096779590012827,1.92587145535057,DDPM,0.2074139714241027,1.1280726250360107,0.5559797379214978
