_rank,img,psnr,ssim,_score,mode,lpips,enl,epi
1,NH49E004011.tif_9_10_1_0.png,24.430694129015933,0.5803977841513471,3.4992924980407274,DDPM,0.3781227469444275,1.1441616891250028,0.2398731177457207
2,NH49E004011.tif_10_10_0_0.png,24.35080336522157,0.5777033442986901,3.4550223653886607,DDPM,0.3778432309627533,1.1330190529401791,0.2340580945083811
3,NH49E001013.tif_1_7_0_0.png,22.35196026269741,0.6122366998759688,3.055753107286976,DDPM,0.340496301651001,0.6734521820273105,0.3071614550392088
4,NH49E005011.tif_4_15_0_1.png,23.75026381341842,0.5427069706224401,3.0198105902961405,DDPM,0.4417521059513092,0.6876539313217955,0.2105786264185095
5,NH49E004011.tif_0_19_0_0.png,22.38387494579353,0.5789253880547995,2.8345038761598937,DDPM,0.4075026214122772,0.734853299025344,0.244459510783866
6,NH49E004011.tif_10_5_1_1.png,22.862463224535453,0.5247896639131447,2.6114044270366135,DDPM,0.4235446751117706,1.0847243643362618,0.2393685578337731
7,NH49E004011.tif_9_4_0_0.png,23.536064808717395,0.4770404838595101,2.4950441336375846,DDPM,0.4445076584815979,2.0201214371771368,0.297333752329179
8,NH49E004011.tif_6_1_0_0.png,23.137203499101467,0.4862834550760012,2.4317136303202185,DDPM,0.4059982597827911,1.476568828135176,0.2477068210364456
9,NH49E004011.tif_9_2_1_1.png,23.224352988252623,0.4548887518763859,2.241445168254612,DDPM,0.480322778224945,1.4467197243854937,0.2626698317136335
10,NH49E004011.tif_5_0_0_0.png,22.06958002395944,0.5018206577905092,2.1982516918800092,DDPM,0.4378186464309692,0.8379606649875411,0.2502931639616252
11,NH49E004011.tif_4_9_1_1.png,21.56505104291105,0.510863160192673,2.0997365202128524,DDPM,0.4584953784942627,1.2272569125174193,0.2541175079534656
12,NH49E004011.tif_4_0_1_1.png,21.980228530349063,0.4904202883430243,2.0904651119735163,DDPM,0.4449168443679809,1.7976889709380997,0.3759752257508911
13,NH49E004011.tif_9_5_1_0.png,21.97150187374241,0.4901937590780036,2.08610040805745,DDPM,0.4336712956428528,0.993734265127335,0.2479607537849644
14,NH49E004011.tif_5_0_0_1.png,22.01227617259154,0.4863394888737651,2.0723593030779606,DDPM,0.4418469071388244,1.9328118286356677,0.3664068075378711
15,NH49E004011.tif_7_15_1_0.png,22.197464714247776,0.4777636651705255,2.0719943003898047,DDPM,0.4745368659496307,1.5737753895375937,0.224885850998523
16,NH49E004011.tif_6_2_0_0.png,21.883683619288316,0.4913207876921063,2.0658476386117473,DDPM,0.4313182234764099,1.277184837847767,0.2601963338016873
17,NH49E004011.tif_5_1_1_1.png,21.852217571128524,0.4901623265065813,2.047735745088966,DDPM,0.430925965309143,1.3024872481912633,0.2628189017911552
18,NH49E004011.tif_4_2_1_0.png,21.79234828105781,0.4905514777566063,2.0312938970540766,DDPM,0.4621608257293701,1.189779044423663,0.2602100914964053
19,NH49E004011.tif_9_6_1_0.png,21.41145809652628,0.5024040640575664,1.9918426878192883,DDPM,0.4125951528549194,1.290760667038659,0.2357543152331255
20,NH49E005011.tif_3_14_1_1.png,20.607778057206616,0.5326329899088124,1.944869723799541,DDPM,0.4971213936805725,0.7056136031634221,0.2425237229705854
21,NH49E004011.tif_3_17_1_1.png,22.39319435615388,0.4471419655586631,1.9218200118922133,DDPM,0.48248490691185,1.559441566680456,0.2309070208764849
22,NH49E004011.tif_4_18_0_0.png,22.357327773931782,0.4466740119509651,1.9070986784115096,DDPM,0.4833314418792724,1.5094507708960383,0.2278167042993328
23,NH49E005011.tif_5_2_1_1.png,22.33997404424486,0.4462382561259929,1.8985213401922907,DDPM,0.477604478597641,2.13063315167076,0.2755894998625817
24,NH49E004011.tif_10_18_0_0.png,22.81382276214433,0.4236004688557968,1.8927617485320951,DDPM,0.5336532592773438,2.3881231880312104,0.2601467917812617
25,NH49E004013.tif_6_6_1_1.png,21.165322386556,0.4965321067337344,1.8723304324051728,DDPM,0.4381545782089233,0.960708437193442,0.2655480587661715
26,NH49E004011.tif_6_3_0_0.png,22.101998400114866,0.4460737974258495,1.8212757415289311,DDPM,0.4562074840068817,2.344849458426545,0.3444718643486733
27,NH49E004011.tif_5_15_0_1.png,19.7938636194624,0.5446807131571951,1.7682963346833582,DDPM,0.4532501697540283,0.99377581079624,0.2744216441267556
28,NH49E004011.tif_12_1_1_1.png,20.403196543973174,0.5159074209023315,1.7632325958114314,DDPM,0.4495025873184204,1.2298908776159052,0.2773694932193914
29,NH49E005011.tif_0_3_0_1.png,21.476247623661852,0.4640725718192108,1.746225127455062,DDPM,0.4962094128131866,1.4995413854525017,0.2498059447908079
30,NH49E002012.tif_12_1_0_0.png,20.113378006103208,0.5263827578479602,1.7433359712130625,DDPM,0.4080358743667602,0.5324385277127894,0.2650865652677311
