_rank,img,psnr,ssim,_score,mode,lpips,enl,epi
1,1374.jpg,34.920327600859586,0.8843027251904011,2.5805077066744184,DDPM,0.1208540201187133,1.1976260776094485,0.5661846617682407
2,65.jpg,33.91346019536431,0.8947021892066002,2.4482681661349903,DDPM,0.1158008053898811,0.4604816001660949,0.5340186852096415
3,64.jpg,33.83914268920435,0.8839540200464725,2.4030395035311236,DDPM,0.123481698334217,0.3716099783634654,0.5510976576062666
4,1567.jpg,34.11020230113909,0.8670572094726563,2.3952212469138994,DDPM,0.1094428077340126,1.8949642437277088,0.5891132497252276
5,1270.jpg,33.7108212417923,0.8519521147587001,2.283539680748775,DDPM,0.0585049577057361,3.2908354346390003,0.8437138877889169
6,822.jpg,33.1785262926747,0.8715580654835701,2.2570816800972437,DDPM,0.1665618419647216,1.2728131800097957,0.483469801845514
7,837.jpg,32.68897107896607,0.842451604805395,2.0875647676681472,DDPM,0.1250493973493576,2.174631673267819,0.5680394207150233
8,403.jpg,32.10454182436768,0.8558451852541565,2.0334673105811936,DDPM,0.2367588281631469,0.2044584541697127,0.468504228070601
9,1675.jpg,32.03365256753343,0.8594256562645585,2.032929477520597,DDPM,0.1534112989902496,1.3398661353828392,0.5275727965724112
10,3569.jpg,31.90214301196649,0.852891616164051,1.9913493031290317,DDPM,0.1730612516403198,0.7407815618529234,0.5306434316452796
11,2903.jpg,31.94665792541378,0.8070300643437505,1.857360518556571,DDPM,0.2249613404273986,3.65935164480148,0.4763404840798944
12,1474.jpg,30.92502431474436,0.8446722690384127,1.8066182018758559,DDPM,0.1725140661001205,0.9919441143619,0.5824253577528117
13,682.jpg,31.11158480331823,0.8135902367169932,1.7413242076134194,DDPM,0.2268530577421188,0.2392447250937116,0.3885456078671211
14,2896.jpg,30.734025799060475,0.8332969149894099,1.7404214534400355,DDPM,0.1885083764791488,1.6378794547837283,0.5747526498899624
15,3011.jpg,31.00597844837239,0.808726144559525,1.709113472177163,DDPM,0.1996988654136657,1.9550827490154288,0.4248275464060842
16,683.jpg,30.74139727305351,0.7934727774601988,1.618967696962271,DDPM,0.2321675419807434,0.2188102008718503,0.3962990750175516
17,1676.jpg,30.55364131166954,0.7981044947676491,1.6026009684610205,DDPM,0.1329715251922607,1.367087093698789,0.5968368070157294
18,1576.jpg,30.036154272947503,0.8214851275830268,1.5901847002687208,DDPM,0.1851294636726379,0.2755581529709635,0.4269636192964423
19,3116.jpg,29.722471515537396,0.8285735517739654,1.560839681890818,DDPM,0.2006411850452423,1.0212280429466096,0.4575069671919272
20,3019.jpg,29.922924086048987,0.8155933172476888,1.5535648225198533,DDPM,0.23135606944561,2.0932269401674337,0.5691566169922374
21,4705.jpg,29.601334055032197,0.8080025325381904,1.4777184917639836,DDPM,0.2417330741882324,2.373104760305519,0.5351930896202998
22,394.jpg,28.671146736158622,0.8502847968095392,1.4561867013122851,DDPM,0.1629149168729782,0.1552008350160944,0.5118379311151585
23,4805.jpg,29.64764127011931,0.7961420311162174,1.4487436993687388,DDPM,0.2016878128051757,1.9458841187819231,0.4839460047351447
24,4806.jpg,29.380997521032416,0.8001103558216468,1.4174632923791903,DDPM,0.2203972190618515,1.834689106683956,0.5324082257709519
25,3974.jpg,29.566101531030952,0.7873445605707765,1.4083447936480358,DDPM,0.2363254725933075,2.5625489772661,0.5275860558617715
26,3459.jpg,28.764302374245982,0.8218680642387569,1.3838627950736542,DDPM,0.2140694856643676,1.4358817597874205,0.4679844337403461
27,3670.jpg,29.147942419582066,0.8001387124337405,1.3795279288418807,DDPM,0.1899082660675048,1.1185024008592528,0.4939058594661532
28,1333.jpg,28.30904388587487,0.8324270918399039,1.3421091310956577,DDPM,0.2355578243732452,0.8232972520829265,0.4338447122124984
29,6149.jpg,29.306033351423007,0.7788713604938984,1.33981789341032,DDPM,0.2538861632347107,3.436160296039241,0.4690102740861144
30,5761.jpg,28.80874962583814,0.7871780254686103,1.2842706878875034,DDPM,0.2146483957767486,2.185898103043018,0.4985488728203235
31,5473.jpg,28.56875163239561,0.7995402096949927,1.2831901872728217,DDPM,0.187709704041481,1.497690905032118,0.5509536882869059
32,5853.jpg,28.7412450273068,0.7898615237862951,1.2815224261263753,DDPM,0.227315217256546,2.6450453722720906,0.5468694319311695
33,821.jpg,28.51956254775857,0.8002415864240527,1.2773252447985461,DDPM,0.1923941671848297,0.1746850831105746,0.4635489668792709
34,5574.jpg,28.343010299171844,0.8084027759589115,1.2736569931776558,DDPM,0.184368297457695,0.9403262263292836,0.4998778443638264
35,475.jpg,28.00340604583788,0.8262877684008106,1.2733358139734439,DDPM,0.1814611107110977,0.5012136983142254,0.4559148430539585
36,5131.jpg,28.661036484897625,0.78919056250906,1.2663699567125755,DDPM,0.2247526794672012,2.415365207758467,0.477438143213625
37,5760.jpg,28.61609950597441,0.7843878308397233,1.244246355001009,DDPM,0.2425710558891296,2.452462391354496,0.4871491080834066
38,3570.jpg,27.93828362712471,0.8195419689019956,1.2419344241613517,DDPM,0.2120504677295684,0.9400096180055892,0.5563951156099481
39,250.jpg,28.790935313900267,0.7732963444229439,1.238609399345282,DDPM,0.137041375041008,3.7752531476761138,0.6866132013716639
40,170.jpg,27.76307934126074,0.8250994736868232,1.230466868995888,DDPM,0.1381927877664566,0.1954842334460894,0.5322134872257409
41,298.jpg,28.406903180478395,0.787868407610204,1.2208361962932464,DDPM,0.1834722906351089,1.0394723260200582,0.4550107978275656
42,3112.jpg,28.186434089148143,0.7933032580607012,1.2016059652109503,DDPM,0.223320186138153,2.556503136161513,0.6000689192848407
43,1852.jpg,27.634584530845935,0.8161797939454233,1.1820308932231887,DDPM,0.1918017715215683,0.9535119857008224,0.4612368316864159
44,188.jpg,27.45565938223612,0.8255294461089316,1.181635912439909,DDPM,0.169345885515213,0.4264303587219999,0.4900288301042764
45,5655.jpg,28.029460781337917,0.7939561146150437,1.1780066976127848,DDPM,0.234768345952034,2.245021816127396,0.5580150827684147
46,5133.jpg,28.21694685263545,0.7820453773030387,1.171910366563086,DDPM,0.2447849214076995,3.2627899370441,0.5232487335364154
47,275.jpg,27.06434041952209,0.8425557067364166,1.1702326793121922,DDPM,0.1290905922651291,0.2187474895557358,0.5520813315114609
48,6086.jpg,28.240514038113563,0.7760091487717741,1.1571640386535653,DDPM,0.222209945321083,3.6979920172190366,0.53308210038174
49,3668.jpg,27.87394826184184,0.793883074386619,1.1524100293750887,DDPM,0.2029919475317001,1.654137248953015,0.4503913574706581
50,2799.jpg,28.148804611569528,0.7762560536420197,1.142962194852355,DDPM,0.2308947741985321,3.0291975327247878,0.4238707614961922
51,3605.jpg,27.95036973585754,0.7851052061758899,1.137842707628931,DDPM,0.2325833588838577,1.736473361831555,0.4925761179261875
52,3610.jpg,28.019868868327013,0.7811677383479737,1.1370542105078614,DDPM,0.2492277473211288,3.228531039564991,0.4876533565956291
53,623.jpg,26.73572661452855,0.8487593218916264,1.135726507094659,DDPM,0.2086851894855499,0.5936769295753807,0.3827190258261642
54,3720.jpg,28.20582500025804,0.7694743707631613,1.1313777595991876,DDPM,0.2743242979049682,3.7891923696342698,0.4817454100145437
55,5920.jpg,28.36514014922157,0.7604607268411369,1.129608278100304,DDPM,0.2284522354602813,3.880186258429491,0.4349392136409724
56,3722.jpg,28.077991960650625,0.7694351870798487,1.1104012465973443,DDPM,0.2739703059196472,4.105547935439154,0.502421954226358
57,3122.jpg,27.870581922882124,0.7764645491927611,1.0982126049928402,DDPM,0.2223075181245803,2.253112791793278,0.4821823554887608
58,4032.jpg,27.92465119568258,0.7722406685592048,1.094024604610361,DDPM,0.2340940237045288,4.334331762935298,0.5052213052723517
59,6111.jpg,27.318988289154635,0.8029019264534227,1.0896465049274933,DDPM,0.2158318161964416,2.339722614233367,0.6092986742444247
60,3658.jpg,28.08059248776943,0.7616007665183563,1.0866958859887124,DDPM,0.2483533024787902,4.083355794088303,0.4914114891611535
61,4929.jpg,27.913464615547028,0.7671985036460022,1.0766699030740627,DDPM,0.2314376235008239,4.007184960195405,0.515024670470401
62,4612.jpg,27.5637187387045,0.784432803972901,1.0726900283693783,DDPM,0.2413183152675628,2.935647694070739,0.5486089466916755
63,4544.jpg,27.94082997662401,0.7616471136542559,1.0640365227129314,DDPM,0.1948050707578659,3.102139382603711,0.4637025866268068
