_rank,img,psnr,ssim,_score,mode,lpips,enl,epi
1,0004304_0_0.png,27.946459287483503,0.6640317500831233,2.4506308723916055,DDPM,0.1719542443752288,311.50421322773724,0.7005311638987142
2,0005658_0_1.png,26.58646489832219,0.7555277113755048,2.446871889006737,DDPM,0.4386083483695984,62.44247549431465,0.9964223372794612
3,0005126_0_1.png,27.19513773324988,0.713355941631987,2.4458503398808515,DDPM,0.2061906605958938,445.0695797586429,0.7321589659098876
4,0003218_0_0.png,27.79793646247587,0.6535381863004757,2.4049015227357424,DDPM,0.1833000630140304,260.5142445667006,0.5879445766949711
5,0003651_0_0.png,28.08542254196614,0.5861487962595625,2.2994028318322908,DDPM,0.2174542099237442,438.948822141088,0.5978751875286046
6,0004976_1_2.png,26.62742958387824,0.6664152032191174,2.255945541305187,DDPM,0.1288383901119232,345.0387714858208,0.975845664966414
7,0005334_0_0.png,27.395308811629725,0.5781704594873674,2.1771353471488486,DDPM,0.2228783965110778,216.03917130876468,0.5094238723913852
8,0003312_0_0.png,27.04421255944389,0.5895744507630654,2.149139104959127,DDPM,0.1966943442821502,383.3523137355273,0.4568136106105226
9,0006939_0_0.png,26.56990884357905,0.6041926858587209,2.1095758624409644,DDPM,0.2137281596660614,436.2945212306037,0.4745139695000201
10,0006746_0_0.png,26.03508233779451,0.6346456505460196,2.095867568586769,DDPM,0.2846646904945373,208.804521881652,0.4287273831197822
11,0004667_0_0.png,26.0802704780467,0.6171924767852919,2.064107613792476,DDPM,0.2874243557453155,172.4645884995884,0.4231461710477629
12,0007839_0_1.png,25.95382663311511,0.6003278424699746,2.0076311197181713,DDPM,0.2774130403995514,341.4420401396839,0.4486255307214092
13,0003740_1_1.png,25.685337322029987,0.6112571498050541,1.9911075558760953,DDPM,0.2985478639602661,271.5317911033364,0.4978558550797579
14,0007499_0_0.png,26.849128134069893,0.530798985144523,1.9895411192783978,DDPM,0.2575726509094238,316.5652388930335,0.5177897502660457
15,0000355_1_1.png,25.618842202251574,0.6132951711378053,1.9855357905871118,DDPM,0.2834853529930115,363.8082877459367,0.5022239728866135
16,0008161_1_1.png,25.49135865601024,0.6195668315725166,1.9800842333967466,DDPM,0.3090701103210449,213.1676948786644,0.4290628398091043
17,0004394_0_0.png,26.077953366478887,0.577570481151704,1.9761038212420827,DDPM,0.2061498165130615,269.6152072857714,0.4840615855181804
18,0006350_1_1.png,25.23345647701799,0.6320191802162977,1.9685349246639985,DDPM,0.3224809765815735,461.4993033855609,0.5138168149257506
19,0007637_1_0.png,26.53140616329816,0.5407477436565219,1.9633849512581167,DDPM,0.1398555040359497,313.4451985569266,0.7310468571556314
20,0004514_0_0.png,25.403365982911303,0.617949873766886,1.9631679364995478,DDPM,0.2190355360507965,326.45040489640235,0.4178219644842973
21,0006421_0_1.png,25.38734084588964,0.6133783893268947,1.9506254843589268,DDPM,0.2983056008815765,436.7481227956721,0.4960424625564364
22,0000005_1_1.png,25.08392115058624,0.6307042920298008,1.942957325348873,DDPM,0.2862240672111511,418.3768518509136,0.5655337157901563
23,0005422_0_1.png,25.43433836321125,0.6053767978249784,1.9400487913235622,DDPM,0.3317193984985351,569.98125636451,0.5052557807091942
24,0004976_0_2.png,24.31569248379732,0.6719207623597234,1.917677707694035,DDPM,0.2046474814414978,92.49833413631757,0.503563732771832
25,0009000_1_1.png,24.77074962168472,0.6389184257100663,1.9136536107156248,DDPM,0.3145770728588104,330.97894727021685,0.5325419093422288
26,0000086_0_1.png,25.56531254334754,0.5837879157960247,1.912144462261876,DDPM,0.1622821241617202,205.60775131990243,0.7222283821501898
27,0000695_0_0.png,24.595116982893494,0.646242181089905,1.9032303656049372,DDPM,0.3280557990074157,288.5545539194737,0.5043341061165566
28,0005863_1_1.png,25.40278693870416,0.5892663858140652,1.8996260001559522,DDPM,0.289406955242157,206.43909823813533,0.4527461731394662
29,0001844_1_1.png,24.530127380664823,0.6486345999594709,1.8986708339108316,DDPM,0.3742648959159851,335.6402689769552,0.4819045116701714
