img,psnr,ssim,lpips,enl,epi
"['../DataStore/WHU_512_small/NH49E001013.tif_0_12.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_13.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_14.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_6.png']",20.03315263759474,0.4904551662768915,0.12371812015771866,1.2955437355795352,0.6236566202303249
"['../DataStore/WHU_512_small/NH49E001013.tif_0_12.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_13.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_14.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_6.png']",19.92194518706637,0.49218836825310064,0.11905719339847565,1.3240195974257645,0.6174530021715302
"['../DataStore/WHU_512_small/NH49E001013.tif_0_12.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_13.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_14.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_6.png']",20.62222483701868,0.5025433383428166,0.11272362619638443,1.500281667697402,0.6462431249384449
"['../DataStore/WHU_512_small/NH49E001013.tif_0_12.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_13.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_14.png', '../DataStore/WHU_512_small/NH49E001013.tif_0_6.png']",22.797586867770796,0.5561707388438742,0.09191357344388962,0.9934150925059875,0.6742967710650516
"['../DataStore/WHU_512_small/NH49E001013.tif_10_15.png', '../DataStore/WHU_512_small/NH49E001013.tif_10_2.png', '../DataStore/WHU_512_small/NH49E001013.tif_10_3.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_11.png']",19.679074633100427,0.5603894445676705,0.11674756556749344,1.282376195001466,0.6634039000204738
"['../DataStore/WHU_512_small/NH49E001013.tif_10_15.png', '../DataStore/WHU_512_small/NH49E001013.tif_10_2.png', '../DataStore/WHU_512_small/NH49E001013.tif_10_3.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_11.png']",18.90146085917047,0.5736464459415417,0.1213759332895279,1.4269267245721167,0.6579723456436265
"['../DataStore/WHU_512_small/NH49E001013.tif_10_15.png', '../DataStore/WHU_512_small/NH49E001013.tif_10_2.png', '../DataStore/WHU_512_small/NH49E001013.tif_10_3.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_11.png']",19.649536555016557,0.5581000839525341,0.11710894107818604,1.179622210490463,0.657187646434586
"['../DataStore/WHU_512_small/NH49E001013.tif_10_15.png', '../DataStore/WHU_512_small/NH49E001013.tif_10_2.png', '../DataStore/WHU_512_small/NH49E001013.tif_10_3.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_11.png']",19.980090960802443,0.5399866544546721,0.09862084686756134,1.2602943929631465,0.6707205716719977
"['../DataStore/WHU_512_small/NH49E001013.tif_11_19.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_7.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_9.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_11.png']",20.43053997046489,0.4935064951159028,0.10565271973609924,1.4211660151728762,0.6567588335398219
"['../DataStore/WHU_512_small/NH49E001013.tif_11_19.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_7.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_9.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_11.png']",19.99068604276028,0.527788492892069,0.11215466260910034,1.0530655684377803,0.6429134864004858
